bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Corn Belt Bank & Trust Co.,643 WEST WASHINGTON STREET,PITTSFIELD,IL,62363,16500,13-Feb-09,The Carlinville National Bank,39.6067449,-90.8144514,2,2009,200902,271.8,234.4
Sherman County Bank,734 O STREET,LOUP CITY,NE,68853,5431,13-Feb-09,Heritage Bank,41.2746893,-98.9678894,2,2009,200902,129.8,85.1
Pinnacle Bank of Oregon,"8880 SOUTHWEST NIMBUS AVENUE, SUITE D",BEAVERTON,OR,97008,57342,13-Feb-09,Washington Trust Bank of Spokane,45.455795,-122.787949,2,2009,200902,73,64
Silver Falls Bank,217 EAST MAIN STREET,SILVERTON,OR,97381,35399,20-Feb-09,Citizens Bank,45.0053215,-122.7828739,2,2009,200902,131.4,116.3
Security Savings Bank,"3019 SAINT ROSE PARKWAY, SUITE 100",HENDERSON,NV,89052,34820,27-Feb-09,Bank of Nevada,36.003464,-115.117691,2,2009,200902,238.3,175.2
Heritage Community Bank,18301 SOUTH HALSTED,GLENWOOD,IL,60425,20078,27-Feb-09,"MB Financial Bank, N.A.",41.5572734,-87.6359982,2,2009,200902,232.9,218.6
Freedom Bank of Georgia,3165 MAYSVILLE ROAD,COMMERCE,GA,30529,57558,6-Mar-09,Northeast Georgia Bank,34.208935,-83.479469,3,2009,200903,173,161
"TeamBank, NA",1 SOUTH PEARL STREET,PAOLA,KS,66071,4754,20-Mar-09,Great Southern Bank,38.5725273,-94.8777761,3,2009,200903,669.8,492.8
FirstCity Bank,831 FAIRWAYS COURT,STOCKBRIDGE,GA,30281,18243,20-Mar-09,No Acquirer,33.504967,-84.220406,3,2009,200903,297,278
Colorado National Bank,3110 NORTH NEVADA AVENUE,COLORADO SPRINGS,CO,80907,18896,20-Mar-09,Herring Bank,38.876942,-104.81942,3,2009,200903,123.5,82.7
Omni National Bank,5 CONCOURSE PARKWAY SUITE 100,ATLANTA,GA,30328,22238,27-Mar-09,No Acquirer,33.9173712,-84.3547279,3,2009,200903,956,796.8
New Frontier Bank,2425 35TH AVENUE,GREELEY,CO,80634,34881,10-Apr-09,No Acquirer,40.398762,-104.735764,4,2009,200904,2000,1500
Cape Fear Bank,1117 MILITARY CUTOFF ROAD,WILMINGTON,NC,28405,34639,10-Apr-09,First Federal Savings and Loan Association,34.237442,-77.827827,4,2009,200904,492,403
Great Basin Bank of Nevada,487 RAILROAD STREET,ELKO,NV,89801,33824,17-Apr-09,Nevada State Bank,40.8319686,-115.762627,4,2009,200904,270.9,241.4
American Sterling Bank,535 South Sterling,Sugar Creek,MO,64054,8266,17-Apr-09,Metcalf Bank,39.1038944,-94.44506,4,2009,200904,181,171.9
First Bank of Beverly Hills,"23901 CALABASAS ROAD, SUITE 1050",CALABASAS,CA,91302,32069,24-Apr-09,No Acquirer,34.154381,-118.647873,4,2009,200904,1500,1000
First Bank of Idaho,111 Main Street,Ketchum,ID,83340,34396,24-Apr-09,"U.S. Bank, N.A.",43.6796612,-114.3629457,4,2009,200904,488.9,374
Michigan Heritage Bank,28300 ORCHARD LAKE ROAD SUITE 200,FARMINGTON HILLS,MI,48334,34369,24-Apr-09,Level One Bank,42.504028,-83.358009,4,2009,200904,184.6,151.7
